%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1452441757079261570,0.00934063729777,0.150606445055,0.124457621258,0.0,0.0,0.0662942137083
1452441757079270284,0.0066366883876,0.14845638539,0.124461330252,0.0,0.0,0.0665344771008
1452441757084572025,0.00401385794473,0.146370827515,0.124467299853,0.0,0.0,0.0667675325915
1452441757086337408,0.00146971241515,0.144347836376,0.124469070103,0.0,0.0,0.0669935964175
1452441757091370535,-0.000998108748539,0.142385534971,0.124472878735,0.0,0.0,0.0672128783287
1452441757092514863,0.040265233022,0.185536245392,0.135015510811,0.0,0.0,0.0641597277004
1452441757095946548,0.036751549188,0.182653697113,0.135019631965,0.0,0.0,0.0644360695628
1452441757101588556,0.033343275869,0.179857625282,0.135026551415,0.0,0.0,0.0647041211693
1452441757103324399,0.0300372507496,0.177145435606,0.135028487232,0.0,0.0,0.0649641312276
1452441757107234248,0.0268304063838,0.17451461162,0.135032476891,0.0,0.0,0.0652163409842
1452441757109319824,0.069662725529,0.221829072913,0.1451344492,0.0,0.0,0.0594775151472
1452441757112702758,0.0653820432419,0.218184629969,0.145138816342,0.0,0.0,0.0598461789134
1452441757115919220,0.0612297814235,0.214649520314,0.145143102909,0.0,0.0,0.0602037827667
1452441757119299164,0.0572020874596,0.211220463948,0.145147711464,0.0,0.0,0.0605506585043
1452441757122647566,0.0532952243146,0.207894279273,0.145151859541,0.0,0.0,0.0608871279698
1452441757126188645,0.0495055670639,0.204667880139,0.145156439139,0.0,0.0,0.0612135033513
1452441757129242354,0.0458295995308,0.201538272979,0.145160709654,0.0,0.0,0.0615300874714
1452441757134534493,0.0422639110237,0.198502554033,0.145166467043,0.0,0.0,0.0618371740679
1452441757136947846,0.0388051931718,0.195557906656,0.145170959456,0.0,0.0,0.0621350480665
1452441757139766308,0.0354502368555,0.1927015987,0.145174083025,0.0,0.0,0.0624239858451
1452441757142738150,0.0719300799889,0.234163121771,0.154728856746,0.0,0.0,0.0591172303841
1452441757145818833,0.0676976754094,0.230479837722,0.154733186035,0.0,0.0,0.0594640371511
1452441757149207196,0.0635922429672,0.226907052195,0.154737914843,0.0,0.0,0.0598004397151
1452441757152573219,0.0596099734983,0.223441450234,0.154742587295,0.0,0.0,0.0601267502021
1452441757155974200,0.0557471721135,0.220079816332,0.154747296311,0.0,0.0,0.0604432713746
1452441757160051107,0.0520002547703,0.216819031446,0.154753094526,0.0,0.0,0.0607502969118
1452441757163445074,0.0483657449473,0.213656070108,0.154757526462,0.0,0.0,0.061048111683
1452441757165928709,0.0980353773881,0.258322948455,0.165221845021,0.0,0.0,0.0580378103056
1452441757169217979,0.0931481762875,0.254218476481,0.165226648477,0.0,0.0,0.0583912037538
1452441757172535823,0.0884075912198,0.250237138667,0.165231700109,0.0,0.0,0.0587339953985
1452441757175998863,0.0838092237042,0.246375240988,0.165236855238,0.0,0.0,0.059066503294
1452441757179422957,0.0793488072141,0.242629200239,0.165241820922,0.0,0.0,0.0593890359525
1452441757182653896,0.0750222032186,0.238995540712,0.16524669815,0.0,0.0,0.0597018926313
1452441757185906853,0.0708253973431,0.235470890971,0.165251687828,0.0,0.0,0.0600053636098
1452441757191291730,0.0667544956437,0.232051980723,0.165257347905,0.0,0.0,0.0602997304589
1452441757192881058,0.0628057209954,0.228735637781,0.165261947232,0.0,0.0,0.0605852663025
1452441757198426903,0.0991529677361,0.264638209339,0.176286222128,0.0,0.0,0.0579171639193
1452441757199343972,0.0943606360564,0.26066004009,0.1762908302,0.0,0.0,0.0582453710729
1452441757202737509,0.0897120743271,0.256801215919,0.176295859618,0.0,0.0,0.058563732012
1452441757205872822,0.0852029694497,0.253058156473,0.176301108304,0.0,0.0,0.0588725421228
1452441757209144981,0.0808291377186,0.24942738881,0.176306455164,0.0,0.0,0.0591720879304
1452441757212897853,0.0765865209394,0.245905544177,0.176311792092,0.0,0.0,0.0594626473637
1452441757215921795,0.0724711826636,0.242489354883,0.176317135514,0.0,0.0,0.059744490014
1452441757219131163,0.0684793045361,0.239175651268,0.176322483903,0.0,0.0,0.0600178773848
1452441757222442198,0.0646071827524,0.235961358761,0.176327791799,0.0,0.0,0.0602830631345
1452441757225928181,0.0608512246222,0.23284349503,0.176333067989,0.0,0.0,0.0605402933117
1452441757229301371,0.057207945236,0.22981916721,0.176338518753,0.0,0.0,0.0607898065836
1452441757232505991,0.0536739642313,0.226885569225,0.176343822065,0.0,0.0,0.0610318344573
1452441757236087640,0.0502460026567,0.22403997918,0.176349354578,0.0,0.0,0.0612666014948
1452441757239296235,0.0469208799294,0.221279756836,0.176354613196,0.0,0.0,0.0614943255212
1452441757247983141,0.0436955108839,0.218602341162,0.176360496385,0.0,0.0,0.0617152178268
1452441757248002800,0.0405669029098,0.216005247959,0.176365465065,0.0,0.0,0.0619294833632
1452441757249636041,0.0799269569125,0.263180880976,0.188113926734,0.0,0.0,0.0541225277835
1452441757252685427,0.0758346959034,0.259617692412,0.188119260683,0.0,0.0,0.054491569265
1452441757255871926,0.0718652027245,0.256161399506,0.18812480447,0.0,0.0,0.054849539502
1452441757259237542,0.068014794341,0.252808795386,0.188130500237,0.0,0.0,0.0551967706319
1452441757262508282,0.064279898209,0.24955676939,0.188136309275,0.0,0.0,0.0555335848279
1452441757267379141,0.0606570489609,0.246402304175,0.188142857838,0.0,0.0,0.0558602945981
1452441757269667630,0.0571428851903,0.243342472915,0.188148319727,0.0,0.0,0.0561772030751
1452441757274434318,0.0922272658724,0.278586521899,0.202169851146,0.0,0.0,0.0500807801718
1452441757276152010,0.0879025844779,0.274896756114,0.202173753482,0.0,0.0,0.0505032064991
1452441757279157286,0.0837076435253,0.271317683303,0.202179435139,0.0,0.0,0.0509128854783
1452441757282516079,0.0796385508012,0.267845982677,0.202185467494,0.0,0.0,0.0513102533998
1452441757286000577,0.0756915308589,0.264478433069,0.202191711319,0.0,0.0,0.0516956849928
1452441757289236911,0.0718629215148,0.261211909949,0.202197802781,0.0,0.0,0.0520695519908
1452441757292691160,0.068149170451,0.258043382523,0.202203974802,0.0,0.0,0.0524321929665
1452441757300645786,0.0645468319192,0.25496991092,0.202212405564,0.0,0.0,0.0527838584427
1452441757300664094,0.0610525635433,0.251988643464,0.202217427856,0.0,0.0,0.0531250980636
1452441757302698196,0.121597461308,0.291174427144,0.222232271005,0.0,0.0,0.049076159079
1452441757306164840,0.116547756198,0.287377329142,0.222238713226,0.0,0.0,0.0494936543546
1452441757309267811,0.11164954224,0.28369414408,0.222245488432,0.0,0.0,0.0498985809414
1452441757312498382,0.106898274702,0.28012145457,0.222251983585,0.0,0.0,0.0502913652759
1452441757315798148,0.102289545189,0.276655945745,0.222258672176,0.0,0.0,0.0506723334845
1452441757319322407,0.0978190775621,0.273294402184,0.222265556133,0.0,0.0,0.051041838464
1452441757322746607,0.0934827239638,0.270033704931,0.222272341926,0.0,0.0,0.0514002490868
1452441757329438943,0.0892764609735,0.266870828595,0.222285129648,0.0,0.0,0.0517473787862
1452441757329857358,0.0851963858728,0.263802838549,0.222286669467,0.0,0.0,0.0520850205384
1452441757332791710,0.13403884431,0.3,0.244843328442,0.0,0.0,0.0464596928028
1452441757335938414,0.12875302738,0.3,0.244850323235,0.0,0.0,0.046905600079
1452441757339192606,0.123625784958,0.297583326644,0.244857621757,0.0,0.0,0.0473380565608
1452441757342431549,0.118652359808,0.293895300931,0.24486492982,0.0,0.0,0.0477575061472
1452441757345972776,0.113828137413,0.290317915991,0.244872535782,0.0,0.0,0.0481642995421
1452441757350518997,0.10914864169,0.286847852598,0.244879816812,0.0,0.0,0.0485589021705
1452441757354246466,0.104609530838,0.283481891107,0.244890403883,0.0,0.0,0.0489411679042
1452441757356115587,0.100206593312,0.280216908461,0.244894910531,0.0,0.0,0.0493127823445
1452441757360068705,0.143468536813,0.3,0.26987741279,0.0,0.0,0.040313434757
1452441757362711241,0.138037915575,0.3,0.269885477073,0.0,0.0,0.040858045684
1452441757365953449,0.132770212975,0.3,0.269893352075,0.0,0.0,0.0413863023838
1452441757369353063,0.127660541452,0.3,0.269901940384,0.0,0.0,0.0418984940842
1452441757372521261,0.122704160076,0.3,0.269909499919,0.0,0.0,0.0423954983172
1452441757376012091,0.11789647014,0.3,0.269917654168,0.0,0.0,0.0428774020091
1452441757379693312,0.113233010903,0.299285556541,0.269927200563,0.0,0.0,0.0433444743777
1452441757382630539,0.108709455443,0.295879607117,0.269934372774,0.0,0.0,0.0437980128587
1452441757386082137,0.104321606646,0.292575836176,0.269942493139,0.0,0.0,0.0442376808223
1452441757389258744,0.100065393314,0.289371178364,0.269950414878,0.0,0.0,0.0446641478475
1452441757394304734,0.0959368663813,0.286262660285,0.269960367875,0.0,0.0,0.04507730173
1452441757396506899,0.0919321952567,0.283247397749,0.269967552354,0.0,0.0,0.0454786261455
1452441757399499991,0.136981417998,0.3,0.295341008724,0.0,0.0,0.034103914009
1452441757402615792,0.131874357868,0.3,0.295349877296,0.0,0.0,0.0347342311659
1452441757405900724,0.126920509541,0.3,0.295358641043,0.0,0.0,0.0353455895686
1452441757409455002,0.122115276664,0.3,0.295367815141,0.0,0.0,0.0359383925835
1452441757412818650,0.117454200774,0.3,0.295376901033,0.0,0.0,0.0365133567353
1452441757419110338,0.11293295716,0.3,0.295392619019,0.0,0.0,0.0370688927702
1452441757421576228,0.108547350854,0.3,0.29540010697,0.0,0.0,0.0376102077321
1452441757423358099,0.192754278132,0.3,0.319008171821,0.0,0.0,0.0132895623555
1452441757426442458,0.186097837098,0.3,0.319018328727,0.0,0.0,0.0144186283848
1452441757429240230,0.179641089296,0.3,0.319026158512,0.0,0.0,0.0155146599726
1452441757432487348,0.173378043927,0.3,0.319035817686,0.0,0.0,0.0165769579808
1452441757435820035,0.167302889919,0.3,0.319045422323,0.0,0.0,0.0176072851702
1452441757439194652,0.161409990532,0.3,0.319055101517,0.0,0.0,0.0186065490438
1452441757442586265,0.155693878126,0.3,0.319065000928,0.0,0.0,0.019575626308
1452441757445874913,0.150149249093,0.3,0.319074518583,0.0,0.0,0.0205156681673
1452441757449222365,0.14477095893,0.3,0.319084053497,0.0,0.0,0.0214273827958
1452441757452515276,0.139554017472,0.3,0.319093721645,0.0,0.0,0.0223115722014
1452441757455992126,0.134493584258,0.3,0.319103516815,0.0,0.0,0.0231690599164
1452441757464853634,0.129584964041,0.3,0.319115926976,0.0,0.0,0.0239996130649
1452441757465087947,0.12482360243,0.3,0.319123087135,0.0,0.0,0.0248072806908
1452441757465932862,0.163883312405,0.3,0.340311326949,0.0,0.0,0.0109233701691
1452441757469231783,0.158218933818,0.3,0.340321217554,0.0,0.0,0.0119889966395
